,iso_3,GEOID,counts
215,TZA,12004.0,24
216,TZA,12005.0,7
217,TZA,12007.0,58
218,TZA,12008.0,24
219,TZA,14001.0,6
220,TZA,14003.0,218
221,TZA,14006.0,36
222,TZA,15001.0,5
223,TZA,15002.0,5
224,TZA,15003.0,12
225,TZA,15004.0,2
226,TZA,17004.0,30
227,TZA,17005.0,6
228,TZA,18001.0,18
229,TZA,18002.0,3
230,TZA,18003.0,41
231,TZA,18004.0,1
232,TZA,18005.0,6
233,TZA,18006.0,10
234,TZA,18007.0,5
235,TZA,19004.0,6
236,TZA,19005.0,12
237,TZA,19006.0,36
238,TZA,19007.0,6
239,TZA,20001.0,7
240,TZA,20006.0,21
241,TZA,21003.0,11
242,TZA,21004.0,41
243,TZA,21005.0,78
244,TZA,22001.0,2
245,TZA,22003.0,1
246,TZA,22004.0,28
247,TZA,23002.0,8
248,TZA,24001.0,15
249,TZA,24002.0,11
250,TZA,24003.0,11
251,TZA,24005.0,6
252,TZA,25001.0,10
253,TZA,25002.0,19
254,TZA,25003.0,17
255,TZA,25004.0,18
256,TZA,25005.0,17
257,TZA,52002.0,201
258,UGA,105002.0,79
259,UGA,105003.0,6
260,UGA,105004.0,138
261,UGA,106003.0,135
262,UGA,107002.0,2
263,UGA,108003.0,71
264,UGA,108004.0,136
265,UGA,110002.0,1
266,UGA,110003.0,108
267,UGA,110004.0,3
268,UGA,113001.0,107
269,UGA,113003.0,18
270,UGA,205002.0,106
271,UGA,205004.0,81
272,UGA,212002.0,3
273,UGA,403001.0,103
274,UGA,403002.0,69
275,UGA,409001.0,1
